,District,Sector,Cellule,Village,Vill_Code,,NEP results,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Gihanga,11010102,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Iterambere,11010103,3,GE,,,CODE,PROVINCE,,,Akabahizi,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Izuba,11010104,4,GE,,,1,Kigali,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Nyaburanga,11010105,5,GE,,,2,South,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Nyenyeri,11010106,6,GE,,,3,West,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Ubukorikori,11010107,7,GE,,,4,North,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Ubumwe,11010108,8,GE,,,5,East,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Ubwiyunge,11010109,9,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Umucyo,11010110,10,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Umurabyo,11010111,11,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Umuseke,11010112,12,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Vugizo,11010113,13,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabeza,Akinyambo,11010201,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabeza,Amayaga,11010202,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabeza,Gitwa,11010203,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabeza,Ituze,11010204,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Akabeza,Mpazi,11010205,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Amahoro,11010301,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Impuhwe,11010302,2,GE,,,code,sector,,,code,cell,,code,village
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Intsinzi,11010303,3,GE,,,1101,,,,110101,,,11010101,
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Kivumu,11010304,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Ubumwe,11010305,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Urukundo,11010306,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Ururembo,11010307,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Ingenzi,11010401,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Sangwa,11010402,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Umubano,11010403,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Umucyo,11010404,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Umuhoza,11010405,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Umurava,11010406,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Akabugenew,11010501,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Ihuriro,11010502,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Isangano,11010503,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Isano,11010504,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Karitasi,11010505,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Ubumanzi,11010506,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Uburezi,11010507,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Ubwiza,11010508,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Umucyo,11010509,9,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Umwembe,11010510,10,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Urugano,11010511,11,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kora,Isangano,11010601,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kora,Kanunga,11010602,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kora,Kinyambo,11010603,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kora,Kivumu,11010604,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kora,Kora,11010605,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kora,Mpazi,11010606,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kora,Rugano,11010607,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kora,Rugari,11010608,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Gitega,Kora,Ubumwe,11010609,9,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nyamweru,Bwimo,11020101,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nyamweru,Gatare,11020102,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nyamweru,Mubuga,11020103,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nyamweru,Nyakirambi,11020104,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nyamweru,Nyamweru,11020105,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nyamweru,Ruhengeri,11020106,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Bibungo,11020201,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Bwiza,11020202,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Gateko,11020203,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Kagasa,11020204,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Nyabihu,11020205,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Rutagara I,11020206,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Rutagara Ii,11020207,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Ruyenzi,11020208,8,GE,,,,,,,,,,,
